No,Tanggal Laporan,No laporan,Jenis Pesawat,Tanggal Kecelakaan,Lokasi,Sinopsis
1,12-Nov-21,KNKT.20.12.24.04,Cesnna 172,18 Desember 2020,"Budiarto Airport, Curug Republic of Indonesia"," On 18 December 2020, a Cessna 172 aircraft, registered PK-TGW, was being operated by Global Aviation Flying School on circuit local flight training at Budiarto Airport (WIRR), Curug, Tangerang1. The aircraft was not equipped with any flight recorder and the radio communication was not recorded therefore, the investigation was based on the data collected on the occurrence site and the interview with the instructor and the student pilot. At 0939 LT, the Budiarto Tower Controller issued clearance for touch and go to the student pilot. PK-TGW conducted touch and go. At 0943 LT, the student pilot reported to Budiarto Tower Controller that the position was on downwind. At 0946 LT, the student pilot reported position was on final and the Budiarto Tower Controller issued the landing clearance and informed that the wind was calm. The student pilot felt that the approach was normal and uneventful. After touchdown the student pilot found that the aircraft tend to turn to the left and was hard to control to maintain the runway centerline. The aircraft continued move to the left and stopped on a ditch on the left of the runway 30, approximately 80 meters from runway centerline and 435 meters from beginning of runway. No one injured in this occurrence."
2,15-Dec-21,KNKT.20.04.06.04,FU 24-950 Fletcher,20-Apr-20,"Mambruk Airstrip, Lereh, Papua
Republic of Indonesia","On 20 April 2020, a Pacific Aerospace FU 24-950 (Fletcher) aircraft, with registration PKPNZ operated by PT Sinar Mas Super Air as agriculture (fertilizer spraying) flight in Mabruk Airstrip, Lereh, Papua. The pilot conducted 15 fertilizer spraying flights, with estimated flight time of 10 minutes for each flight. The west side area of Mambruk airstrip was an area dedicated as conservation and some local people utilized the conservation area on the left side of threshold runway 36 as livestock boar farming. The dead boar has been confirmed to be owned by local people whose farming on conservation area on the left side of runway 36. No one injured on this occurrence and the aircraft had minor damage. The investigation concluded the contributing factor of the occurrence was that the aircraft nose wheel collapsed after impacted a boar that was on the airstrip. The fence and gutter condition allowed the boar to cross and entered the airstrip. During the investigation, the Komite Nasional Keselamatan Transportasi (KNKT) has been informed several safety actions taken by aircraft operator and airstrip operator. The KNKT acknowledged the safety actions taken and considered relevant to improve the safety issues identified in this investigation. Therefore, the KNKT is not issuing safety recommendations in this report.
"
3,9-Apr-20,KNKT.19.07.14.04,Cessna 172S,22 Juli 2019,"Cimanuk River, Indramayu, West Java
Republic of Indonesia 
","On 22 July 2019, a Cessna 172S registered PK-WUG was being operated by Angkasa
Aviation Academy (AAA) on a mutual flight training exercise from Cakrabhuwana Airport 
(WICD), Cirebon to Indramayu Training Area. The flight plan was filed with cruising altitude 
of 2,000 feet. The exercise for the student pilot was on C-14 Stage which contained exercises 
of mutual precision rate one turns, compass error and performance maneuvers.
Prior to the departure, there was no record or report of aircraft system malfunction. On board 
the aircraft were two student pilots and one of the students acted as Pilot in Command (PIC)
while the other student pilot seated on the right seat. 
At 1358 LT, the PK-WUG aircraft departed from Cirebon to the Indramayu Training Area. 
The Global Positioning System (GPS) installed in the aircraft recorded that when the aircraft 
was flying over the southern boundary of the Indramayu Training Area, the aircraft was 
descending. At 1425 LT, the aircraft flew westerly and was descending passed 750 feet.
The aircraft continued descend and while flew over the Cimanuk River passed 140 feet. 
About one minute flying over the river, the aircraft struck power line cables and crashed into
the river.
After the aircraft stopped, both pilots self-evacuated from the aircraft and helped by local 
people to the river bank. During the evacuation, the Safety Pilot was drowned and fatally 
injured while the PIC had minor injury. 
The investigation determined that the aircraft serviceability was not issue in this accident. The 
investigation concluded the contributing factor of the accident was: 
The available means to monitor flight training activities that had not been utilized 
resulted in the aircraft flying below the minimum safe altitude was undetected.
Flying the aircraft below the minimum safe altitude and unaware of the power line cables 
ran across the river made the aircraft struck three power line cables.
The KNKT had been informed safety actions taken by the AAA and considered relevant to 
improve safety, however there still safety issues remain to be considered. Therefore, the 
KNKT issued safety recommendations to the AAA and Directorate General of Civil Aviation 
to address safety issues identified in this report
"
4,24 Agustus 2020,KNKT.19.05.10.04,Airbus A320,25 Mei 2019,"Sultan Hasanuddin International Airport
Republic of Indonesia

","On 25 May 2019, an Airbus A320 aircraft registered PK-LZJ was being operated on a 
scheduled passenger flight from Sultan Hasanuddin International Airport (WAAA), Makassar 
to Mopah International Airport (WAKK), Merauke. On board the aircraft was two pilots, five 
flight attendants and 82 passengers. 
At 1842 UTC (0242 LT), on night time, the aircraft commenced pushback from stand B1. The 
push back operation used towing tractor with the three crews consisted of towing tractor 
driver, a wing-man and a headset-man who performed by an aircraft mechanic. There was no 
briefing among the crew related to the pushback activity including the push back maneuver. 
The towing tractor driver and wing-man used high visibility vest while the headset-man used 
company uniform without any fluorescence strip or high visibility vest. 
The push back maneuver did not follow the guideline and the headset-man walked behind the 
nose wheel while observing the engine start process. During a turn, the aircraft nose wheel 
passed over the right foot of the headset-man. The towing tractor driver felt a bump and 
noticed that the headset-man laid on the ground. The headset-man evacuated to the nearest 
hospital for medical treatment and found sustaining fracture on his right tarsometatarsal.
The investigation determined that the aircraft and towing tractor airworthiness serviceability, 
and communication transmission were not an issue on this occurrence. Therefore, the analysis 
discussed the pushback operation and personnel awareness. The investigation concluded the 
contributing factors of the occurrence as follows:
The different assumption of pushback maneuver between headset-man and the push back 
tractor driver, and both were fixated to their own duties while working on a reduced 
alertness condition, resulted in the towing tractor driver did not aware of the headset-man 
position and the headset-man did not aware of the nose wheel position. These conditions led 
to the nose wheel passed over the headset-man foot.
The KNKT had been informed of safety actions taken by the involved parties resulting from 
this occurrence. However, there still remain safety issues that need to be considered. 
Therefore, the KNKT issues the following safety recommendations addressed to the Angkasa 
Aviasi Servis
"
5,19-Apr-21,KNKT.18.08.32.04,PAC 750XL,11 Agustus 2018,"Menuk Mountain, Oksibil, Papua
Republic of Indonesia
","On 11 August 2018, a PAC 750XL aircraft registered PK-HVQ was being operated by PT. 
Marta Buana Abadi (Dimonim Air) on unscheduled passenger flight from Tanah Merah to 
Oksibil. At the day of the occurrence the meteorological condition at Oksibil was below the 
requirement of Visual Flight Rule (VFR) weather minima and did not improve. Being aware 
that some flights had performed flight to Tanah Merah to Oksibil and returned, the pilot 
decided to fly to Oksibil. 
At 1342 LT, on daylight condition the PK-HVQ aircraft departed from Tanah Merah to 
Oksibil, on board the aircraft were one pilot, one observer pilot and 7 passengers. According 
to the passenger and cargo manifest, the total weight of passenger and the baggage were 473 
kg. Prior to the departure, there was no record or report of aircraft system malfunction.
At 1411 LT, the PK-HVQ pilot made initial contact to Oksibil Tower controller and reported 
that the aircraft was maintaining altitude of 7,000 feet over and the estimate time arrival at 
Oksibil would be 0520 UTC (1420 LT). The Oksibil Tower controller advised the pilot of the 
latest meteorological condition that the visibility was 1 up to 2 km and most of the area were 
covered by cloud.
At 1416 LT, the pilot reported that the aircraft position was over Oksibil Aiport and the 
Oksibil Tower controller instructed the pilot to continue the flight to the final runway 11 and 
to report when the runway had in sight.
The Oksibil Tower controller and pilots of other aircraft called the pilot but no reply. On the 
following day, the aircraft was found on a ridge of mountain about 3.8 Nm north west of 
Oksibil on bearing 331° with elevation about 6,800 feet. Eight occupants were fatally injured 
and one occupant was seriously injured. 
Investigation involved Transport Accident Investigation Commission of New Zealand and 
Transportation Safety Board of Canada that assigned accredited representative according to 
the ICAO Annex 13.
The investigation determined the contributing factors of the occurrence as follows:
VFR weather minimum requirement that was not implemented properly most likely had 
made the pilot did not have a clear visual to the surrounding area. 
Considering that the Pilot in Command (PIC) had lack knowledge of the terrain 
surrounding the Oksibil area, and the absence of voice alert from the TAWS when the 
aircraft flying close to terrain, resulted in the PIC did not have adequate awareness to the 
surrounding terrain while flying into clouds and continued to fly below the terrain height 
until the aircraft impacted the terrain.
The KNKT acknowledged the safety action taken by the related parties and considered the 
actions were relevant to improve safety, however, there still remain safety issues that need to 
be considered. Therefore, the KNKT issues safety recommendations addressed to the 
Dimonim Air, Directorate General of Civil Aviation (DGCA), and Badan Meteorologi 
Klimatologi dan Geofisika/Bureau of Meteorology, Climatology and Geophysics (BMKG).
"
6,24 Agustus 2020,KNKT.19.05.10.04,Airbus A320,25 Mei 2019,"Sultan Hasanuddin International Airport
Republic of Indonesia

","On 25 May 2019, an Airbus A320 aircraft registered PK-LZJ was being operated on a 
scheduled passenger flight from Sultan Hasanuddin International Airport (WAAA), Makassar 
to Mopah International Airport (WAKK), Merauke. On board the aircraft was two pilots, five 
flight attendants and 82 passengers. 
At 1842 UTC (0242 LT), on night time, the aircraft commenced pushback from stand B1. The 
push back operation used towing tractor with the three crews consisted of towing tractor 
driver, a wing-man and a headset-man who performed by an aircraft mechanic. There was no 
briefing among the crew related to the pushback activity including the push back maneuver. 
The towing tractor driver and wing-man used high visibility vest while the headset-man used 
company uniform without any fluorescence strip or high visibility vest. 
The push back maneuver did not follow the guideline and the headset-man walked behind the 
nose wheel while observing the engine start process. During a turn, the aircraft nose wheel 
passed over the right foot of the headset-man. The towing tractor driver felt a bump and 
noticed that the headset-man laid on the ground. The headset-man evacuated to the nearest 
hospital for medical treatment and found sustaining fracture on his right tarsometatarsal.
The investigation determined that the aircraft and towing tractor airworthiness serviceability, 
and communication transmission were not an issue on this occurrence. Therefore, the analysis 
discussed the pushback operation and personnel awareness. The investigation concluded the 
contributing factors of the occurrence as follows:
The different assumption of pushback maneuver between headset-man and the push back 
tractor driver, and both were fixated to their own duties while working on a reduced 
alertness condition, resulted in the towing tractor driver did not aware of the headset-man 
position and the headset-man did not aware of the nose wheel position. These conditions led 
to the nose wheel passed over the headset-man foot.
The KNKT had been informed of safety actions taken by the involved parties resulting from 
this occurrence. However, there still remain safety issues that need to be considered. 
Therefore, the KNKT issues the following safety recommendations addressed to the Angkasa 
Aviasi Servis
"
7,18-Jul,KNKT.18.06.25.04,ATR 72-212,19-Jun-18,"Sintang, West Kalimantan
Republic of Indonesia","On 19 June 2018, an ATR 72-212 aircraft was being operated by Wings Abadi Airlines 
(Wings Air) on a scheduled passenger flight from Supadio International Airport, Pontianak 
(WIOO) with intended destination of Tebelian Airport (WIOS), Sintang. The flight was 
inadvertently landed at Susilo Airport which had been closed for operation.
Prior to departure, the pilot received the flight documents from the Flight Operation Officer 
(FOO) and no briefing related to the closing of Susilo Airport and moved to Tebelian Airport.
The information available on the aircraft library and website (aimindonesia) contained 
information of Susilo Airport which had been closed for operation since 26 April 2018. The 
information related to Tebelian Airport was available on the link of AIP Supplement on the 
website. 
The pilot reviewed the Notice to Airman (NOTAM) related to Sintang Aerodrome and noted
some changes airport data of such as elevation, threshold runway elevation and Non Directional Beacon (NDB) identification and frequency. The pilot compared the changes of 
the Sintang Aerodrome information with the information contained on the Airport Visual 
Guidance (AVG) provided by the aircraft operator which published on 2 March 2018 and 
effective since 9 March 2018.
At 0149 UTC, the aircraft landed on runway 08 of Susilo Airport. Prior to land, the pilot 
could not recall that they saw the white cross mark on the runway which indicates the runway 
was closed or unserviceable.
The investigation is continuing and KNKT plans to complete the investigation within 12 
months since the day of the occurrence. Should any further relevant safety issues emerge 
during the course of the investigation, KNKT will immediately bring the issues to the 
attention of the relevant parties and publish as required.
At the time of issuing this Preliminary Report, the KNKT had not been informed of any safety 
actions resulting from this occurrence.
In this preliminary investigation report, KNKT issue safety recommendations to Wings Abadi 
Airline and Directorate General of Civil Aviation (DGCA) to address identified safety issues. "
8,19-Apr,KNKT.17.11.33.04,Cessna 172S,21-Nov-17,"Near NAMP ISLAND, West Nusa Tenggara
Republic of Indonesia","On 21 November 2017, a Cessna 172S aircraft registered PK-BYK was being operated by 
Balai Pendidikan dan Pelatihan Penerbangan Banyuwangi (BP3B) on a cross country training 
flight from Blimbingsari airport (WADY), Banyuwangi to Sultan Muhammad Kaharuddin 
airport (WADS), Sumbawa Besar. 
On board the PK-BYK were two student pilots. The Student Pilot 1 (SP1) acted as Pilot 
Flying (PF) and the Student Pilot 2 (SP2) acted as Pilot Monitoring (PM). Prior to departure 
there was no report or record of aircraft system malfunction. 
The PK-BYK departed from Banyuwangi with intention to cruise at altitude of 7,000 feet and 
when approached point KUBU TAMBAHAN, the PK-BYK pilot requested to Bali approach 
controller to climb to altitude of 9,000 feet and was approved.
At the same day, an ATR72-600 aircraft registered PK-WHS was being operated by PT. 
Wings Abadi Airlines (Wings Air) as a scheduled passenger flight from Sumbawa to Lombok 
International Airport (WADL), Nusa Tenggara Barat with flight number WON1861. Prior to 
departure there was no report or record of aircraft system malfunction.
The WON1861 departed from Sumbawa with cruising altitude of 8,000 feet. On board the 
aircraft were two pilots, two flight attendants and 62 passengers, the Pilot in Command (PIC) 
acted as PM and the Second in Command (SIC) acted as PF. 
When the PK-BYK aircraft approaching point NAMP ISLAND, the PK-BYK PF saw an 
ATR72-600 aircraft flew through clouds from the opposite direction with aircraft nose 
slightly up. The PK-BYK PF assumed that the ATR72-600 aircraft was on climbing and then 
the PF decided to descend with intention to avoid the ATR72-600 aircraft.
The separation of both aircraft reduced to below minima when the PK-BYK pilot left altitude 
9,000 feet at 01:31:40 UTC, the distance of both aircraft was 4.7 Nm and continued reducing. 
Both flights continued their flight to the destination safely. The aircraft was undamaged and 
no one injured in this occurrence.
The investigation determined that the aircraft and radio communication serviceability were
not issues in this occurrence and the investigation concluded the contributing factor was the 
assumption of ATR72-600 on climbing and not aware of the right of way rules resulted in the 
PK-BYK pilot decided to descend aircraft for traffic avoidance.
The KNKT had been informed corrective action taken by the AirNav Indonesia and BP3B
responding to the KNKT safety recommendation in the preliminary report. The KNKT 
acknowledged the corrective actions and considered relevant to address the safety issue 
described in this report. Therefore, KNKT did not issue safety recommendation in this report.
"
9,19-May,KNKT.17.04.10.04,Cessna 208,12-Apr-17,"Anem Mountain, Oksibil
Republic of Indonesia ","On 12 April 2017, a Cessna C208 aircraft registered PK-FSO was being operated by PT. 
Spirit Avia Sentosa (FlyingSAS) for unscheduled cargo flight from Tanah Merah to Oksibil. 
At 1144 LT on daylight condition, the aircraft departed Tanah Merah with intended cruising 
altitude of 7,000 feet. Prior to departure, there was no report or record of aircraft system 
malfunction. On board the aircraft was one pilot, 1,225 kg of general cargo and 800 pounds of 
fuel which was sufficient for about 3 hours of flight time. 
At about 29 Nm from Oksibil, the PK-FSO aircraft passed a Cessna 208B aircraft which was 
flying on opposite direction from Oksibil to Tanah Merah at altitude 6,000 feet. The Cessna 
208B pilot advised to the pilot on radio frequency 122.7 MHz that the PK-FSO aircraft was in 
sight. The pilot responded that the aircraft was maintaining 7,000 feet on direct route to 
Oksibil.
At 1240 LT, the Oksibil tower controller received another phone call from the FlyingSAS 
officer at Jakarta which informed that the FlyingSAS flight following system received SOS 
signal (emergency signal)from PK-FSO aircraft which located approximately 6 Nm north of 
Oksibil. Afterwards, the Oksibil air traffic controller advised the occurrence to the Search and 
Rescue Agency.
On 13 April 2017, at 2211 UTC, the PK-FSO aircraft was found on ridge of Anem Mountain 
which located about 7 Nm north of Oksibil. The aircraft was destroyed by impact forces and 
the pilot was fatally injured. 
The investigation determined that the aircraft serviceability was not issue in this occurrence. 
Therefore, the analysis discussed the aircraft flight profile; pilot medical condition and 
activities; organization oversight; and pilot medical examination. The investigation concluded 
the contributing factor of the accident was the possibility of the pilot being fatigue, physical 
and environment condition increased pilot sleepiness which might have made the pilot 
inadvertently falling asleep indicated by no pilot activity. The absence of GA-EGPWS aural 
alert and warning was unable to wake up the pilot.
The KNKT has been informed safety actions taken by the FlyingSAS and Balai Kesehatan 
Penerbangan (Aviation Medical Center) resulting from this occurrence, however, there still 
remain safety issues that need to be considered. Therefore, the KNKT issues safety 
recommendations addressed to the FlyingSAS, Aviation Medical Center and Directorate 
General of Civil Aviation. "
10,18-Aug,KNKT.17.01.02.04,Cessna 172S,16-Jan-17,"Blimbingsari Airport, Banyuwangi, East Java
Republic of Indonesia ","On 16 January 2017, a Cessna 172S registered PK-MUA operated by PT. Mandiri Utama 
Flight Academy on a solo flight training area from Blimbingsari Airport (WADY), 
Banyuwangi to Panggang Bay training area and return to Blimbingsari. 
After returned from the area up to the final approach runway 08, the approach was normal 
refer to the training provided and the student pilot requested for full stop landing.
At 0317 UTC, before touchdown the student pilot flared out and the aircraft ballooning.
The student pilot pushed the control column slightly. The aircraft nose down and the 
propeller hit the runway. The student pilot action to recover the ballooning was contrary to 
the ballooning recovery technique according to the Airplane Flying Handbook.
The aircraft stopped and fire appeared on the front right side of the aircraft. The student 
pilot evacuated through the left door. 
The wreckage examination found fuel line broken on the right lower fuselage that most 
likely caused by the impact. The fuel spill from the broken fuel line and the spark that 
possibly created by the friction of the aircraft part with the runway ignited the fire.
The controller saw the condition and notified the Airport Rescue and Fire Fighting 
Services (ARFF) by activating the serine and the crash bell. The fire extinguished after 
about 20 minutes and two foam tenders used more than 6,500 liters water and mixed with
foam while it required approximately 400 liters of water for the type of aircraft according 
to the Manual of Standard (MOS) 139. The amount of extinguishing agent and time 
required, indicated that the extinguishing process was not effective.
No one injured in this accident and the aircraft destroyed by impact forces and post impact 
fire. 
The investigation concluded that the contributing factors to this accident were:
 The aircraft ballooning recovery technique was contrary to the ballooning recovery 
technique, resulted in the aircraft nose down during impact the runway, broke the fuel 
pipe line and initiated fire.
 The fire extinguishing process was not effective resulted in the aircraft destroyed.
The KNKT issued several safety recommendations to PT. Mandiri Utama Flight Academy, 
Blimbingsari Airport Operator and Directorate General of Civil Aviation (DGCA) to 
address safety issues identified during the investigation. 
"
